Positive,Negative,Game_name,Positive_Rate,Link
36007,8447,PlanetSide 2,0.81,https://store.steampowered.com/app/218230/PlanetSide_2/
4077,505,Rocksmith 2014 Edition  Remastered,0.89,https://store.steampowered.com/app/221680/Rocksmith_2014_Edition__Remastered/
2465,1714,Naval Action,0.59,https://store.steampowered.com/app/311310/Naval_Action/
3493,1293,ACE COMBAT 7 SKIES UNKNOWN,0.73,https://store.steampowered.com/app/502500/ACE_COMBAT_7_SKIES_UNKNOWN/
117,20,Vacation Simulator,0.86,https://store.steampowered.com/app/726830/Vacation_Simulator/
3648,644,Baldurs Gate Enhanced Edition,0.85,https://store.steampowered.com/app/228280/Baldurs_Gate_Enhanced_Edition/
207,157,The Golf Club 2019 featuring PGA TOUR,0.57,https://store.steampowered.com/app/695290/The_Golf_Club_2019_featuring_PGA_TOUR/
20996,10342,Far Cry 5,0.67,https://store.steampowered.com/app/552520/Far_Cry_5/
1288,283,Pummel Party,0.82,https://store.steampowered.com/app/880940/Pummel_Party/
2990,748,Idle Champions of the Forgotten Realms,0.8,https://store.steampowered.com/app/627690/Idle_Champions_of_the_Forgotten_Realms/
6922,3111,The Isle,0.69,https://store.steampowered.com/app/376210/The_Isle/
279,84,iRacing,0.77,https://store.steampowered.com/app/266410/iRacing/
3053,128,Hot Dogs Horseshoes  Hand Grenades,0.96,https://store.steampowered.com/app/450540/Hot_Dogs_Horseshoes__Hand_Grenades/
7316,1094,Crush Crush,0.87,https://store.steampowered.com/app/459820/Crush_Crush/
7458,1638,Call of Duty Black Ops II,0.82,https://store.steampowered.com/app/202970/Call_of_Duty_Black_Ops_II/
83315,4385,Undertale,0.95,https://store.steampowered.com/app/391540/Undertale/
4743,528,The Evil Within 2,0.9,https://store.steampowered.com/app/601430/The_Evil_Within_2/
2659,1087,Project CARS 2,0.71,https://store.steampowered.com/app/378860/Project_CARS_2/
10062,876,FINAL FANTASY VII,0.92,https://store.steampowered.com/app/39140/FINAL_FANTASY_VII/
127501,5313,Euro Truck Simulator 2,0.96,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/
6142,1441,Endless Space 2,0.81,https://store.steampowered.com/app/392110/Endless_Space_2/
20704,2560,Stick Fight The Game,0.89,https://store.steampowered.com/app/674940/Stick_Fight_The_Game/
667,58,Fell Seal Arbiters Mark,0.92,https://store.steampowered.com/app/699170/Fell_Seal_Arbiters_Mark/
167,17,Out of the Park Baseball 20,0.91,https://store.steampowered.com/app/831980/Out_of_the_Park_Baseball_20/
300,101,Project Winter,0.75,https://store.steampowered.com/app/774861/Project_Winter/
30120,1255,Dishonored,0.96,https://store.steampowered.com/app/205100/Dishonored/
